date,open,high,low,close,volume
2/10/17,49929.24,50093.38,49845.85,49925.08,354875936
2/13/17,50032.44,50322.55,49834.69,49965.63,362407552
2/14/17,49931.94,50036.65,49527.7,49767.91,353066208
2/15/17,49833.7,49922.34,49097.02,49214.15,417525536
2/16/17,49348.14,49693.84,49163.91,49588.3,263260768
2/17/17,49612.89,49893.38,49320.48,49375.71,373303200
2/20/17,49425.63,49597.33,48850.9,48929.12,344287808
2/21/17,48924.7,49103.59,48655.92,49015.09,343120960
2/22/17,49119.81,49331.54,48710.29,48981.65,379901888
2/23/17,49012.7,49153.44,48474.8,49062.26,266165456
2/24/17,49136.8,49273.94,48941.69,49007.99,275386048
2/27/17,49018.74,49081.28,48489.74,48520.75,250993904
2/28/17,48541.91,48636.35,48146.68,48534.23,228603584
3/1/17,48627.9,49050.51,48534.23,48992.16,234954704
3/2/17,49252.08,49729.99,48992.16,49696.08,398532224
3/3/17,49778.59,49894.52,49564.08,49623.81,392029504
3/6/17,49696.83,49841.1,49342.95,49434.89,302795616
3/7/17,49448.87,49525.48,49216.32,49452.71,237057984
3/8/17,49468.61,49778.21,49422.89,49754.72,245065584
3/9/17,49752.1,49857.09,49219.55,49392.44,220426016
3/10/17,49360.99,49456.39,49048.95,49191.75,182738288
3/13/17,49188.56,49254.77,48562,48655.72,133092840
3/14/17,48649.84,48662.51,48061.27,48539.06,195127184
3/15/17,48630.19,48767.44,48209.89,48305.83,206112656
3/16/17,48330.05,48341.17,47774.44,48289.66,180608496
3/17/17,48339.32,48727.44,48289.66,48409.35,212866736
3/20/17,48488.13,48757.38,48409.35,48697.65,134748272
3/21/17,48723.69,49060.05,48676.68,49020.21,225178960
3/22/17,49057.5,49147.32,48961.06,49016.79,317794272
3/24/17,49080.19,49138.4,48928.18,48971.05,353390016
3/27/17,49048.05,49049.43,48633.26,48680.16,237971168
3/28/17,48639.16,48685.59,48490.39,48523.41,218176384
3/29/17,48594.29,48909.1,48336.78,48375.63,272272704
3/30/17,48448.71,48504.4,47820.31,47949.33,241249312
3/31/17,47982.55,48210.74,47678.83,48155.93,273529728
4/3/17,48205.55,48384.02,48120.93,48227.75,159929328
4/4/17,48233.2,48366.04,48050.54,48088.37,134698704
4/5/17,48125.03,48166.18,47523.41,47577.31,185456576
4/6/17,47555.41,47634.87,47254.65,47356.6,146258272
