mkt,ticker,open,previous_close,high,low,close,direction,change,,,volume,,,,,
FUT,ASC-JUL,8.42,8.35,8.42,8.35,8.35,#ERROR!,0,118,561000,4722325,,,,,
FUT,ASC-JUN,8.3,8.22,8.3,8.1,8.27,+,0.05,130,582000,4828615,,,,,
Reg,ASL,7.65,7.6,7.78,7.51,7.6,#ERROR!,0,139,596612,4545081.57,,,,,
FUT,ASL-JUL,7.76,7.8,7.76,7.75,7.75,-,-0.05,118,270000,2093000,,,,,
FUT,ASL-JUN,7.65,7.73,7.65,7.62,7.62,-,-0.11,117,272000,2078175,,,,,
Reg,ASTL,27.65,27.41,27.7,27,27.03,-,-0.38,79,105626,2906195.11,,,,,
Reg,ASTM,10.5,9.93,10.5,9.35,10,+,0.07,10,509,5091.14,,,,,
Reg,ATBA,302,300.93,307.5,301.5,302,+,1.07,138,12208,3722817.42,,,,,
Reg,ATLH,489.82,484.83,490,481,485.01,+,0.18,42,4256,2072835.89,,,,,
Reg,ATRL,364.5,360.06,364.5,357.5,357.5,-,-2.56,516,136126,49079343.14,,,,,
FUT,ATRL-JUL,366,366,368,362.5,363,-,-3,127,161500,59110650,,,,,
FUT,ATRL-JUN,361,361.18,363.4,355.59,358.5,-,-2.68,178,203000,73315910,,,,,
Reg,AVN,55.26,54.99,55.95,54.9,55.4,+,0.41,820,733466,40752755.77,,,,,
FUT,AVN-JUL,56.15,56.02,56.97,55.8,56,-,-0.02,234,353500,19969465,,,,,
FUT,AVN-JUNB,55.3,55.21,56.1,55,55.3,+,0.09,311,390500,21728980,,,,,
Reg,BAFL,66.55,67.24,67.98,66.55,67.5,+,0.26,232,487010,32576276.91,,,,,
FUT,BAFL-JUL,69,67,70.99,68,70.99,+,3.99,5,2500,172745,,,,,
FUT,BAFL-JUNB,67,67,68,67,68,+,1,5,2500,168000,,,,,
Reg,BAHL,109.3,108.82,111,108.51,110,+,1.18,65,95137,10417975.8,,,,,
Reg,BAPL,37,39.56,40.9,37,38.5,-,-1.06,56,27591,1048432.8,,,,,
Reg,BATA,1700,1700,1700.01,1700,1700.01,+,0.01,5,154,261801,,,,,
Reg,BCL,133,131.21,133,130.25,130.51,-,-0.7,26,5741,756169.78,,,,,
Reg,BECO,6.48,6.25,6.48,6.1,6.1,-,-0.15,3,12,77.08,,,,,
Reg,BELA,106.68,97.87,106.68,106.68,106.68,+,8.81,8,9010,961186.8,,,,,
Reg,BERG,73,73.04,73.98,72,73,-,-0.04,9,2025,146889,,,,,
Reg,BGL,13.97,13.76,13.97,13.61,13.71,-,-0.05,143,207052,2836769.63,,,,,
Reg,BIFO,103.9,102.01,103.9,101.55,103,+,0.99,24,12547,1280550.26,,,,,
Reg,BILF,2.8,2.92,3.19,2.8,3,+,0.08,41,41966,127397.49,,,,,
Reg,BIPL,21.97,21.92,22.2,21.86,21.91,-,-0.01,139,103257,2268707.63,,,,,
FUT,BIPL-JUL,20.62,22.27,22.48,20.62,22.48,+,0.21,8,11500,246160,,,,,
FUT,BIPL-JUN,22.49,21.84,22.5,21,22.1,+,0.26,19,14500,316035,,,,,
Reg,BML,1.97,1.95,1.98,1.87,1.88,-,-0.07,164,376801,719898.13,,,,,
FUT,BML-JUN,1.88,1.92,1.88,1.86,1.86,-,-0.06,12,31500,59100,,,,,
Reg,BNWM,27.25,27.7,27.5,27.25,27.3,-,-0.4,6,7004,193184,,,,,
Reg,BOK,11.4,11.15,11.4,11.39,11.39,+,0.24,2,1505,17156.95,,,,,
Reg,BOP,4.83,4.84,4.88,4.77,4.78,-,-0.06,694,3169070,15208042.87,,,,,
FUT,BOP-JUL,4.88,4.97,4.9,4.86,4.86,-,-0.11,29,898000,4423255,,,,,
FUT,BOP-JUN,4.81,4.85,4.9,4.75,4.79,-,-0.06,97,1186500,5730805,,,,,
Reg,BPL,0,24.75,0,0,0,#ERROR!,0,2,10000,253550,,,,,
Reg,BRRG,14.98,14.4,14.98,14.98,14.98,+,0.58,2,101000,1458980,,,,,
Reg,BWCL,222,219.46,223,222,222,+,2.54,7,19,4223.99,,,,,
Reg,BWHL,134.02,136.08,135,129,130.01,-,-6.07,40,1680,223468.7,,,,,
Reg,CCM,100.3,92.1,100.3,100.3,100.3,+,8.2,1,2,200.6,,,,,
Reg,CENI,26.99,25,26.99,24.03,24.5,-,-0.5,16,10600,257583.98,,,,,
Reg,CEPB,30.25,30.27,30.43,30,30.4,+,0.13,53,49761,1501819.69,,,,,
Reg,CHAS,75,71.19,75,65.01,72,+,0.81,7,773,51465.7,,,,,
Reg,CHBL,3.84,3.69,3.84,3.5,3.65,-,-0.04,52,100440,365859.24,,,,,
Reg,CHCC,161.8,160.45,162.6,161,161.5,+,1.05,54,2639,426645.43,,,,,
FUT,CHCC-JUL,163.55,162,163.55,163.48,163.48,+,1.48,12,20500,3352670,,,,,
FUT,CHCC-JUN,158,162,161,158,161,-,-1,12,20500,3297500,,,,,
Reg,CJPL,2.4,2.63,2.66,2.4,2.66,+,0.03,14,4506,11909.25,,,,,
Reg,CLCPS,1.71,1.74,1.89,1.52,1.79,+,0.05,35,158526,285092.44,,,,,
Reg,CLOV,49.95,49.62,49.95,48,48.7,-,-0.92,139,51470,2515315.67,,,,,
Reg,CLVL,6.8,6.45,6.8,6.4,6.6,+,0.15,10,865,5541.99,,,,,
Reg,CNERGY,3.93,3.96,4.04,3.93,3.98,+,0.02,710,3638523,14516669.17,,,,,
FUT,CNERGY-JUL,4.07,4.03,4.1,4.01,4.01,-,-0.02,283,1506500,6094815,,,,,
FUT,CNERGY-JUN,4,3.97,4.05,3.95,3.95,-,-0.02,474,3378500,13508295,,,,,
Reg,COLG,1230.01,1230,1234,1227,1229,-,-1,117,1725,2120820.58,,,,,
Reg,CPHL,27.85,27.87,28.17,27.42,28.14,+,0.27,267,267033,7441276.5,,,,,
FUT,CPHL-JUL,28.3,28,28.31,28.26,28.31,+,0.31,8,110500,3123555,,,,,
FUT,CPHL-JUN,28.11,28,28.25,27.77,27.93,-,-0.07,28,51000,1426840,,,,,
Reg,CPPL,119.95,119.46,119.95,117.6,118.01,-,-1.45,30,49538,5910260.14,,,,,
Reg,CRTM,13.31,13.5,13.93,13.31,13.36,-,-0.14,20,14881,198854.65,,,,,
Reg,CSAP,55.25,54.98,55.25,54.5,54.5,-,-0.48,24,8289,454733.08,,,,,
Reg,CSIL,2.98,2.94,3,2.9,2.95,+,0.01,88,3276675,9552802.34,,,,,
Reg,CTM,3.01,2.95,3.13,2.96,3.01,+,0.06,43,128935,391350.44,,,,,
Reg,CWSM,29.85,29.93,30.3,27.24,28.21,-,-1.72,1107,769099,21724240.57,,,,,
Reg,DAAG,206.57,189.51,206.57,206.57,206.57,+,17.06,24,3825,790130.25,,,,,
Reg,DAWH,161.88,161.02,163,160.5,161.4,+,0.38,126,87237,14154386.21,,,,,
Reg,DBCI,4.95,4.84,4.99,4.7,4.77,-,-0.07,126,206986,993549.51,,,,,
Reg,DCL,8.9,9.01,9.1,8.9,9,-,-0.01,223,753591,6786389.74,,,,,
FUT,DCL-JUL,9.18,9.16,9.2,9.08,9.14,-,-0.02,60,190500,1741215,,,,,
FUT,DCL-JUN,9,9.02,9.08,8.95,9,-,-0.02,58,140500,1267120,,,,,
Reg,DCR,16.29,16.29,16.32,16.26,16.32,+,0.03,71,172291,2808103.89,,,,,
Reg,DEL,5,5.02,5.1,5,5.08,+,0.06,3,2001,10165.02,,,,,
Reg,DFML,40.85,40.32,40.99,40.1,40.63,+,0.31,1924,2220067,90032612.26,,,,,
FUT,DFML-AUG,0,39,0,0,0,#ERROR!,0,1,1000,39000,,,,,
FUT,DFML-JUL,41.19,41.02,41.5,40.7,41.25,+,0.23,862,2553500,105348855,,,,,
FUT,DFML-JUN,40.56,40.51,40.99,40.16,40.73,+,0.22,858,2389000,97179085,,,,,
Reg,DFSM,3.28,3.4,3.55,3.28,3.49,+,0.09,57,22812,78255.47,,,,,
Reg,DGKC,90.6,90.21,91.24,89.9,90.5,+,0.29,1147,1055485,95653461.34,,,,,
FUT,DGKC-JUL,91.5,91.95,92.48,91.25,91.99,+,0.04,301,865500,79648900,,,,,
FUT,DGKC-JUN,90.03,90.59,91.3,90.03,90.8,+,0.21,379,1083000,98427380,,,,,
Reg,DMTM,9.82,8.82,9.82,9.82,9.82,+,1,5,3001,29469.82,,,,,
Reg,DNCC,13.76,13.75,13.76,13.75,13.75,#ERROR!,0,2,7800,107255,,,,,
Reg,DOL,22.82,22.8,23.31,22,22.05,-,-0.75,1184,1170316,26431108.72,,,,,
FUT,DOL-JUL,23,23.3,23.22,22.5,22.5,-,-0.8,105,82000,1867440,,,,,
FUT,DOL-JUN,23,22.96,23,22.01,22.21,-,-0.75,63,43500,974515,,,,,
Reg,DSIL,3.45,3.42,3.54,3.36,3.49,+,0.07,96,274599,960051.61,,,,,
Reg,DSL,5.75,5.73,5.8,5.75,5.79,+,0.06,11,207920,1191355.8,,,,,
Reg,DSML,24.14,22.19,24.14,20.2,24,+,1.81,5,5,112.68,,,,,
Reg,DWAE,19.96,18.31,19.96,19.96,19.96,+,1.65,3,985,19660.6,,,,,
Reg,DWSM,5,4.77,5,4.05,4.5,-,-0.27,74,121394,520723.05,,,,,
Reg,DWTM,4.15,4.42,4.15,4.15,4.15,-,-0.27,1,1,4.15,,,,,
Reg,DYNO,221.01,226.98,228.95,221.01,228,+,1.02,9,208,46803.25,,,,,
Reg,ECOP,17.16,15.74,17.16,15.9,16.2,+,0.46,98,100713,1689193.58,,,,,
Reg,EFERT,163,163.62,168.1,163,167.33,+,3.71,1662,955256,159324919.4,,,,,
FUT,EFERT-JUL,167.5,164,170,167.5,170,+,6,9,5500,930740,,,,,
FUT,EFERT-JUNB,165,164,168,165,167,+,3,13,10000,1669850,,,,,
Reg,EFGH,26.99,26.26,26.99,26.99,26.99,+,0.73,1,100,2699,,,,,
Reg,EFUL,193.01,195,193.55,192.05,193.55,-,-1.45,6,4600,885995,,,,,
Reg,EMCO,35.69,32.74,35.69,34.7,35.1,+,2.36,84,43405,1542100.31,,,,,
Reg,ENGRO,336.12,336.84,341.9,336.07,339.06,+,2.22,653,109328,37061777.51,,,,,
FUT,ENGRO-JUL,344.8,340,345,344.8,345,+,5,2,1000,344900,,,,,
FUT,ENGRO-JUNB,337,337,341.4,337,341.4,+,4.4,8,6500,2197400,,,,,
Reg,EPCL,46.41,46.1,46.45,45.55,45.6,-,-0.5,511,346437,15988683.15,,,,,
FUT,EPCL-JUL,47,47.08,47,46.55,46.9,-,-0.18,10,9000,419750,,,,,
FUT,EPCL-JUN,46.39,46.38,46.39,46,46,-,-0.38,6,4500,208365,,,,,
Reg,EPCLPS,11.8,11.49,11.8,11.8,11.8,+,0.31,1,101,1191.8,,,,,
Reg,EPQL,28.38,27.88,28.38,27.91,28.17,+,0.29,147,243656,6848922.8,,,,,
FUT,EPQL-JUL,28.5,28.47,28.5,26.25,28,-,-0.47,12,15000,407675,,,,,
FUT,EPQL-JUN,28,27.9,30.39,25.56,28.25,+,0.35,13,15000,410390,,,,,
Reg,ESBL,3.99,3.83,4,3.99,4,+,0.17,2,2000,7997,,,,,
Reg,EXIDE,589,582.49,598.98,581,588.5,+,6.01,164,12388,7348358.58,,,,,
Reg,FABL,45.98,46,46.01,45.3,45.45,-,-0.55,590,972593,44264705.97,,,,,
FUT,FABL-JUL,46.1,46.69,46.4,45.5,46.25,-,-0.44,56,1815000,84084195,,,,,
FUT,FABL-JUNB,45.7,45.99,45.7,45,45.69,-,-0.3,56,1674000,76165920,,,,,
Reg,FASM,280,280,290,280,290,+,10,6,6,1719.59,,,,,
Reg,FATIMA,52.11,52.11,53,51.26,52.4,+,0.29,470,572486,30077914.77,,,,,
Reg,FCCL,23.02,23.01,23.23,22.8,22.83,-,-0.18,847,1682348,38738057.21,,,,,
FUT,FCCL-JUL,23.5,23.43,23.57,23.15,23.15,-,-0.28,145,2008500,46999395,,,,,
FUT,FCCL-JUN,23.15,23.1,23.4,22.6,22.9,-,-0.2,223,2224500,51291115,,,,,
Reg,FCEL,10.5,9.53,10.5,10.5,10.5,+,0.97,1,1,10.5,,,,,
Reg,FCEPL,72.8,72.58,73.4,72.5,72.5,-,-0.08,43,92455,6756715.08,,,,,
Reg,FCIBL,8.23,7.9,8.23,8.17,8.17,+,0.27,2,563,4629.71,,,,,
Reg,FCL,23.49,23.49,23.68,23.45,23.52,+,0.03,148,230432,5420101.48,,,,,
Reg,FCSC,1.3,1.34,1.4,1.29,1.32,-,-0.02,65,104909,141974.15,,,,,
Reg,FDPL,2.48,2.21,2.48,2.12,2.25,+,0.04,29,14890,34220.19,,,,,
Reg,FECM,5,5.03,5.01,4.9,5.01,-,-0.02,9,4501,22525.6,,,,,
Reg,FECTC,30,30,30,29.51,29.51,-,-0.49,9,54501,1632247,,,,,
Reg,FEM,2.78,2.78,2.78,2.6,2.6,-,-0.18,9,12000,31392.1,,,,,
Reg,FEROZ,235.05,241,250,224,241.17,+,0.17,63,11851,2791988.48,,,,,
Reg,FFBL,33.65,33.54,34.4,33.5,33.8,+,0.26,720,1167332,39822656.65,,,,,
FUT,FFBL-JUL,34.25,34.13,34.94,34.25,34.4,+,0.27,51,103000,3567555,,,,,
FUT,FFBL-JUN,33.95,33.6,34.44,33.32,33.51,-,-0.09,105,135500,4629515,,,,,
Reg,FFC,151.05,151.78,160.2,151,158.5,+,6.72,1651,2183356,344990065.9,,,,,
FUT,FFC-JULB,159.95,154.98,161.1,159.95,161.1,+,6.12,6,5000,803875,,,,,
FUT,FFC-JUNB,154.5,152,160,154.5,158.1,+,6.1,12,12500,1976250,,,,,
Reg,FFL,9.15,9.12,9.2,9.12,9.12,#ERROR!,0,344,1161689,10627568.21,,,,,
FUT,FFL-JUL,9.3,9.27,9.35,9.2,9.2,-,-0.07,168,917500,8539150,,,,,
FUT,FFL-JUN,9.17,9.16,9.22,9.15,9.17,+,0.01,234,738500,6768300,,,,,
Reg,FFLM,2.15,2.19,2.2,2.14,2.2,+,0.01,7,11500,24850.3,,,,,
Reg,FHAM,16.41,15.85,16.41,16,16,+,0.15,12,4951,79267.02,,,,,
Reg,FLYNG,8.7,8.65,8.95,8.68,8.68,+,0.03,108,374301,3304140.49,,,,,
FUT,FLYNG-JUL,8.5,8.84,8.97,8.5,8.97,+,0.13,124,275500,2469200,,,,,
FUT,FLYNG-JUN,8.55,8.75,8.96,8.55,8.84,+,0.09,170,334000,2954540,,,,,
Reg,FML,84.99,78,84.99,84.99,84.99,+,6.99,1,1,84.99,,,,,
Reg,FNEL,3.94,3.83,3.94,3.75,3.8,-,-0.03,103,196849,752396.37,,,,,
Reg,FPJM,1.35,1.45,1.5,1.35,1.5,+,0.05,2,2,2.85,,,,,
Reg,FRSM,55,53.84,58.68,55,55,+,1.16,11,24606,1365416.6,,,,,
Reg,FTMM,4.75,4.55,4.75,4.75,4.75,+,0.2,2,7,32.05,,,,,
Reg,FTSM,16.01,16,16.99,16,16.99,+,0.99,6,302,5128.12,,,,,
Reg,FZCM,125,130,125,125,125,-,-5,1,100,12500,,,,,
Reg,GADT,175.05,175,178.79,171.99,172,-,-3,35,2944,511435.45,,,,,
Reg,GAL,178.9,177.86,182.95,178.9,179.99,+,2.13,1570,727927,132110591.7,,,,,
Reg,GAMON,9.99,9.56,9.99,9.97,9.98,+,0.42,9,40030,398699.31,,,,,
Reg,GATI,214.89,218.77,214.89,210,214.89,-,-3.88,6,1141,242236.48,,,,,
Reg,GATM,20.5,20.38,20.64,20.3,20.41,+,0.03,155,125222,2566931.76,,,,,
FUT,GATM-JUL,20.81,20.75,20.81,20.73,20.73,-,-0.02,13,33000,685780,,,,,
FUT,GATM-JUN,20.57,20.5,20.63,20.53,20.53,+,0.03,11,20000,411055,,,,,
Reg,GCIL,11.5,11.4,11.5,11.25,11.3,-,-0.1,60,80895,920463.12,,,,,
Reg,GEMBLUEX,18,19.5,18,18,18,-,-1.5,1,500,9000,,,,,
Reg,GEMMEL,20,20,20,20,20,#ERROR!,0,4,7802,156040,,,,,
Reg,GEMPAPL,7.99,7.99,8.25,7.99,8,+,0.01,5,2500,20047.32,,,,,
Reg,GFIL,10.7,10.82,10.7,9.83,9.83,-,-0.99,3,3,31.13,,,,,
Reg,GGGL,6.24,6.24,6.38,6.23,6.25,+,0.01,102,163631,1024945.38,,,,,
Reg,GGL,9.9,9.9,9.97,9.87,9.9,#ERROR!,0,323,426883,4230345.54,,,,,
FUT,GGL-JUL,10,10.06,10.13,9.97,10.05,-,-0.01,146,436000,4402580,,,,,
FUT,GGL-JUN,9.94,9.93,9.98,9.9,9.9,-,-0.03,218,399000,3969295,,,,,
Reg,GHGL,26.4,26.29,26.7,26.2,26.25,-,-0.04,84,147597,3884815.5,,,,,
FUT,GHGL-JUN,26.25,26.39,26.35,26.25,26.35,-,-0.04,4,10500,276625,,,,,
Reg,GHNI,274.8,272.65,285,274,278.7,+,6.05,1291,453035,127218150.3,,,,,
Reg,GLAXO,138.98,139.51,139,137.15,138,-,-1.51,29,51789,7181893.24,,,,,
Reg,GRR,13.6,13.91,13.6,13.5,13.5,-,-0.41,4,1000,13527,,,,,
Reg,GSPM,2.61,2.7,3.15,2.61,2.7,#ERROR!,0,25,20646,55778.78,,,,,
Reg,GTYR,41.97,41.72,42.35,41.51,41.92,+,0.2,79,79638,3338298.72,,,,,
Reg,GUSM,2.32,2.7,2.55,2.32,2.55,-,-0.15,2,501,1277.32,,,,,
Reg,GVGL,40.08,40.84,40.2,40,40.2,-,-0.64,18,7026,281806.68,,,,,
Reg,GWLC,30.1,30.01,30.5,30,30,-,-0.01,97,123815,3752572.38,,,,,
Reg,HABSM,64,65.44,65.49,63.9,63.9,-,-1.54,29,1038,66417.4,,,,,
Reg,HAEL,12.6,12.43,13.55,12.6,13.2,+,0.77,176,198579,2591835.77,,,,,
Reg,HALEON,275.01,281.23,283,275.01,282,+,0.77,7,1206,339290,,,,,
Reg,HASCOL,6.1,6.03,6.15,6.04,6.07,+,0.04,331,1007263,6134188.95,,,,,
Reg,HBL,126.95,126.31,126.95,124.5,124.5,-,-1.81,635,672987,84646145.47,,,,,
FUT,HBL-JUL,128.5,129,128.65,127,127,-,-2,87,358500,45554680,,,,,
FUT,HBL-JUNB,126.25,126.62,126.89,125.01,125.26,-,-1.36,52,310500,38943375,,,,,
Reg,HBLTETF,0,101.45,0,0,0,#ERROR!,0,2,535000,51360000,,,,,
Reg,HCAR,288.4,286.31,294.9,288.4,290.25,+,3.94,662,151303,44075755.96,,,,,
Reg,HCL,422,421.88,433.99,415,416,-,-5.88,16,217,90348.09,,,,,
Reg,HGFA,6.95,6.27,6.95,6.66,6.79,+,0.52,46,371613,2492303.03,,,,,
Reg,HIFA,2.76,2.53,2.89,2.7,2.79,+,0.26,41,59661,163901.83,,,,,
Reg,HINO,303,301.29,303,290,295.99,-,-5.3,32,1709,505461.06,,,,,
Reg,HINOON,717.8,710.22,717.8,711,711,+,0.78,16,49,34962.59,,,,,
Reg,HIRAT,2.6,2.67,2.77,2.6,2.65,-,-0.02,171,88690,241871.4,,,,,
Reg,HMB,68.8,68.03,69,68,68,-,-0.03,38,62883,4276897.15,,,,,
Reg,HPL,1600,1600,1600,1600,1600,#ERROR!,0,3,280,448000,,,,,
Reg,HSPI,10.59,10.4,11.25,10.5,11,+,0.6,34,14094,154135.44,,,,,
Reg,HTL,35.7,35.69,36.65,35.7,36,+,0.31,717,1278275,46380416.04,,,,,
Reg,HUBC,164,163.94,169.7,163,167.5,+,3.56,5721,7117283,1195505637,,,,,
FUT,HUBC-JULB,166,166.75,172.48,166,170,+,3.25,678,1040000,177413510,,,,,
FUT,HUBC-JUNB,164,164.45,170,163.35,167.6,+,3.15,487,931500,156411900,,,,,
Reg,HUMNL,10.81,10.79,11.08,10.76,10.82,+,0.03,1447,14139876,154556342,,,,,
FUT,HUMNL-JUL,11,10.96,11.3,11,11,+,0.04,256,1065000,11852060,,,,,
FUT,HUMNL-JUN,10.9,10.82,11.1,10.8,10.9,+,0.08,432,2013000,22083265,,,,,
Reg,HWQS,8.45,8.54,8.8,8.45,8.53,-,-0.01,4,1223,10409.13,,,,,
Reg,IBLHL,31.9,31.64,32.5,31.5,31.5,-,-0.14,42,44972,1439719.78,,,,,
Reg,ICCI,7.2,6.62,7.62,6.61,7.62,+,1,86,299996,2130753.91,,,,,
Reg,ICIBL,1.55,1.44,1.55,1.42,1.49,+,0.05,6,1196,1710.17,,,,,
Reg,ICL,45,45,45.89,44.25,45.8,+,0.8,31,22426,1013602.82,,,,,
Reg,IDYM,120.6,122.79,124.95,120.5,121.1,-,-1.69,15,10971,1357297.45,,,,,
Reg,IGIHL,123.01,123.39,123.2,123,123.05,-,-0.34,8,38351,4713549.91,,,,,
Reg,ILP,71.83,71.48,72.7,70.5,71.38,-,-0.1,1518,1468023,104823690.4,,,,,
FUT,ILP-JUL,72.5,72.63,73.35,71.8,72.5,-,-0.13,49,63500,4611990,,,,,
FUT,ILP-JUN,71.05,71.84,73.74,70.5,71.5,-,-0.34,53,46000,3294755,,,,,
Reg,IMAGE,13.09,13.06,13.2,13.03,13.05,-,-0.01,47,50485,663476.19,,,,,
Reg,INDU,1590,1589,1590,1581.05,1589,#ERROR!,0,21,89,141165.97,,,,,
Reg,INIL,192,191.05,194.5,190.02,193.15,+,2.1,327,195665,37863776.63,,,,,
FUT,INIL-JUL,195.55,195,197.55,195.55,197,+,2,244,251000,49509995,,,,,
FUT,INIL-JUN,193,191.37,194.9,193,193.66,+,2.29,273,271500,52766880,,,,,
Reg,IPAK,24.2,24.21,24.2,24.1,24.1,-,-0.11,15,7578,182849.65,,,,,
Reg,ISIL,1400,1388.94,1400,1350,1398,+,9.06,7,19,25947.41,,,,,
Reg,ISL,85,84.93,87,85,86,+,1.07,531,774645,66839889.66,,,,,
FUT,ISL-JUL,87,86,88.32,87,87.85,+,1.85,106,216500,19005300,,,,,
FUT,ISL-JUN,86.49,85.1,87.95,85.99,86.5,+,1.4,73,48500,4196450,,,,,
Reg,ITTEFAQ,6.1,6.03,6.15,6.01,6.05,+,0.02,67,214960,1300504.01,,,,,
Reg,JDMT,63.48,62.57,63.48,63.48,63.48,+,0.91,1,1,63.48,,,,,
Reg,JDWS,500,481.22,500,493.86,493.86,+,12.64,5,196,97389.68,,,,,
Reg,JGICL,45.98,46,45.98,45.5,45.5,-,-0.5,4,626,28724.48,,,,,
Reg,JLICL,128.01,128.05,128.01,128,128,-,-0.05,2,1000,128001,,,,,
Reg,JSBL,9.38,9.25,9.38,9.19,9.2,-,-0.05,14,91100,838128,,,,,
FUT,JSBL-JUL,9.37,9.27,9.37,9.37,9.37,+,0.1,1,500,4685,,,,,
FUT,JSBL-JUN,9.23,9.39,9.23,9.2,9.2,-,-0.19,2,20500,188615,,,,,
Reg,JSCL,18.58,18.22,18.6,17.85,17.9,-,-0.32,43,137550,2481517.6,,,,,
Reg,JSCLPSA,7.06,7.67,7.06,7.06,7.06,-,-0.61,2,3680,25954,,,,,
Reg,JSGBETF,18.77,18.75,18.77,18.77,18.77,+,0.02,1,500,9385,,,,,
Reg,JSGCL,211.82,194.33,211.82,200,200,+,5.67,3,16,3211.82,,,,,
Reg,JSIL,16,16,16,16,16,#ERROR!,0,8,7200,115240,,,,,
Reg,JSMFETF,19.56,19.26,19.56,19.45,19.45,+,0.19,4,15000,292550,,,,,
Reg,JUBS,12.62,12.11,12.7,12.62,12.7,+,0.59,2,202,2549.4,,,,,
Reg,JVDC,35.2,35.39,35.25,35.2,35.22,-,-0.17,3,1500,52835,,,,,
Reg,KAPCO,32.75,32.75,32.99,32.61,32.8,+,0.05,211,806684,26419782.34,,,,,
FUT,KAPCO-JUL,33.39,33.5,33.4,33,33.2,-,-0.3,11,437500,14585195,,,,,
