ticker,mkt,previous_close,open,high,low,close,,change,,,volume
CNERGY-AUG,Reg,3.96,3.93,4.04,3.93,3.7,+,0.02,710,3638523,"14,516,669.17"
COLG,FUT,4.03,4.07,4.1,4.01,3.73,-,-0.02,283,1506500,"6,094,815.00"
CPHL,FUT,3.97,4,4.05,3.95,1120.2,-,-0.02,474,3378500,"13,508,295.00"
CPHL-AUG,Reg,1230,1230.01,1234,1227,31.7,-,-1,117,1725,"2,120,820.58"
CPPL,Reg,27.87,27.85,28.17,27.42,32.07,+,0.27,267,267033,"7,441,276.50"
CRTM,FUT,28,28.3,28.31,28.26,114.19,+,0.31,8,110500,"3,123,555.00"
CSAP,FUT,28,28.11,28.25,27.77,15.75,-,-0.07,28,51000,"1,426,840.00"
CSIL,Reg,119.46,119.95,119.95,117.6,82.01,-,-1.45,30,49538,"5,910,260.14"
CTM,Reg,13.5,13.31,13.93,13.31,2.85,-,-0.14,20,14881,"198,854.65"
CYAN,Reg,54.98,55.25,55.25,54.5,4.25,-,-0.48,24,8289,"454,733.08"
DAAG,Reg,2.94,2.98,3,2.9,24.5,+,0.01,88,3276675,"9,552,802.34"
DADX,Reg,2.95,3.01,3.13,2.96,184,+,0.06,43,128935,"391,350.44"
DAWH,Reg,29.93,29.85,30.3,27.24,75.89,-,-1.72,1107,769099,"21,724,240.57"
DBCI,Reg,189.51,206.57,206.57,206.57,144.38,+,17.06,24,3825,"790,130.25"
DCL,Reg,161.02,161.88,163,160.5,7.1,+,0.38,126,87237,"14,154,386.21"
DCL-AUG,Reg,4.84,4.95,4.99,4.7,7.18,-,-0.07,126,206986,"993,549.51"
DCR,Reg,9.01,8.9,9.1,8.9,7.28,-,-0.01,223,753591,"6,786,389.74"
DEL,FUT,9.16,9.18,9.2,9.08,16.45,-,-0.02,60,190500,"1,741,215.00"
DFML,FUT,9.02,9,9.08,8.95,5.01,-,-0.02,58,140500,"1,267,120.00"
DFML-AUG,Reg,16.29,16.29,16.32,16.26,40.04,+,0.03,71,172291,"2,808,103.89"
DFSM,Reg,5.02,5,5.1,5,40.49,+,0.06,3,2001,"10,165.02"
DGKC,Reg,40.32,40.85,40.99,40.1,4.84,+,0.31,1924,2220067,"90,032,612.26"
DGKC-AUG,FUT,39,0,0,0,77.41,#ERROR!,0,1,1000,"39,000.00"
DLL,FUT,41.02,41.19,41.5,40.7,78.13,+,0.23,862,2553500,105348855
DMTM,FUT,40.51,40.56,40.99,40.16,206.22,+,0.22,858,2389000,"97,179,085.00"
DMTX,Reg,3.4,3.28,3.55,3.28,9.95,+,0.09,57,22812,"78,255.47"
